source_commit,original_path,annotated_path,language,file_type,source_size_bytes,source_line_count,source_nonempty_line_count,source_sha256,changed_vs_master,git_status_vs_master,execution_relevance,production_status,annotation_mode,status,skip_reason,annotation_coverage,source_preservation,syntax_validation,baseline_test_relevance,notes,last_commit
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/single_controller/ray/base.py,docs/code_explanation/annotated/verl/single_controller/ray/base.py,python,source,35375,819,658,1475aab07df18a9bcacf754a454a89730b128d43acd0700ee9a7b3636bfc6909,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=396,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/single_controller/ray/megatron.py,docs/code_explanation/annotated/verl/single_controller/ray/megatron.py,python,source,3330,73,61,f739a7ed497890e62e993502f407169092da5bda081ba00bd8a8092efde24cdb,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=22,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/__init__.py,,python,source,600,13,13,e65abd77db034b4f29eb1268c24867f84919dbce22e28d1997e563ed1d94179c,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/sglang/__init__.py,,python,source,1259,26,26,566ce76a0185427357ae049e2c5e346ba6f73fedc32690f30862b3cf275bd7dc,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/sglang/parallel_state.py,,python,source,13964,322,267,ab0973a0d44ae4410f7103af967417c48140216a441f35a633b8fd27c6406654,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/__init__.py,,python,source,1828,53,42,124c2d8da62b1e59f0bbb1a14ad1254993b26332fe2569494d8c8b57703f3b45,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/__init__.py,,python,source,600,13,13,e65abd77db034b4f29eb1268c24867f84919dbce22e28d1997e563ed1d94179c,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/arg_utils.py,,python,source,20768,447,416,fbda269401e8f784eb2788d9c935d6b9f48d0c4f219a97600476c759153a0aff,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/config.py,,python,source,11615,247,223,f068d1142fe541e1b982f0eac77e4bb8aec57e36eda45ceadf54ad94b6661e3c,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/dtensor_weight_loaders.py,,python,source,15452,337,297,085079dc3e018d66cdaf322e7c59c27f5fb0368e3b5210565e3d18eca2aadb33,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
